iso_code;continent;location;date;new_cases;total_cases;new_deaths;total_deaths
FJI;Oceania;Fiji;2021-03-17;0.0;66.0;0.0;2.0
MCO;Europe;Monaco;2021-06-08;3.0;2511.0;0.0;33.0
JPN;Asia;Japan;2021-01-17;5760.0;331195.0;49.0;4525.0
HKG;Asia;Hong Kong;2021-07-03;1.0;11939.0;0.0;211.0
GIN;Africa;Guinea;2020-12-27;28.0;13674.0;0.0;80.0
PRT;Europe;Portugal;2020-08-08;186.0;52537.0;4.0;1750.0
GIB;Europe;Gibraltar;2020-03-14;0.0;1.0;;
MDG;Africa;Madagascar;2020-06-13;12.0;1252.0;0.0;10.0
EST;Europe;Estonia;2020-03-23;26.0;352.0;;
TCA;North America;Turks and Caicos Islands;2021-12-05;0.0;3103.0;0.0;25.0
SYC;Africa;Seychelles;2020-06-21;0.0;11.0;;
CPV;Africa;Cape Verde;2020-06-27;64.0;1091.0;2.0;12.0
QAT;Asia;Qatar;2022-03-17;68.0;359517.0;0.0;677.0
TCD;Africa;Chad;2021-08-10;1.0;4981.0;0.0;174.0
SYR;Asia;Syria;2021-01-13;102.0;12660.0;9.0;799.0
AZE;Asia;Azerbaijan;2022-02-04;7050.0;683476.0;26.0;8823.0
SVK;Europe;Slovakia;2021-06-24;67.0;774642.0;0.0;12502.0
SPM;North America;Saint Pierre and Miquelon;2020-06-27;0.0;1.0;;
SDN;Africa;Sudan;2021-10-05;287.0;38632.0;0.0;2909.0
KGZ;Asia;Kyrgyzstan;2020-05-19;27.0;1243.0;0.0;14.0
NPL;Asia;Nepal;2022-01-22;8212.0;904796.0;16.0;11651.0
SYC;Africa;Seychelles;2021-09-16;0.0;20593.0;0.0;106.0
SRB;Europe;Serbia;2020-09-03;95.0;31676.0;2.0;718.0
PRY;South America;Paraguay;2021-04-01;1611.0;216278.0;44.0;4250.0
BGD;Asia;Bangladesh;2021-09-23;1144.0;1548320.0;24.0;27337.0
OWID_INT;;International;2021-07-26;0.0;721.0;0.0;15.0
LVA;Europe;Latvia;2021-05-04;425.0;120378.0;5.0;2159.0
SHN;Africa;Saint Helena;2021-11-07;0.0;4.0;;
DJI;Africa;Djibouti;2021-10-28;11.0;13472.0;0.0;181.0
CAF;Africa;Central African Republic;2022-02-09;87.0;14110.0;0.0;110.0
MDA;Europe;Moldova;2020-09-09;588.0;41144.0;9.0;1096.0
SUR;South America;Suriname;2022-03-01;78.0;78294.0;0.0;1317.0
BLR;Europe;Belarus;2021-08-11;966.0;456247.0;11.0;3562.0
ZWE;Africa;Zimbabwe;2021-12-19;2106.0;191673.0;3.0;4782.0
BIH;Europe;Bosnia and Herzegovina;2020-06-23;63.0;3588.0;1.0;172.0
TLS;Asia;Timor;2020-05-12;0.0;24.0;;
OWID_AFR;;Africa;2020-03-19;178.0;788.0;3.0;20.0
VUT;Oceania;Vanuatu;2022-03-13;0.0;207.0;0.0;1.0
KIR;Oceania;Kiribati;2021-10-25;0.0;2.0;;
OWID_KOS;Europe;Kosovo;2021-10-03;23.0;160193.0;2.0;2961.0
KAZ;Asia;Kazakhstan;2021-08-28;6266.0;849557.0;0.0;12655.0
SVN;Europe;Slovenia;2022-03-21;1089.0;937936.0;7.0;6449.0
PNG;Oceania;Papua New Guinea;2021-06-16;109.0;16791.0;0.0;165.0
AZE;Asia;Azerbaijan;2020-04-29;49.0;1766.0;1.0;23.0
FRO;Europe;Faeroe Islands;2020-06-24;0.0;187.0;;
BHR;Asia;Bahrain;2020-11-07;241.0;83264.0;1.0;329.0
MOZ;Africa;Mozambique;2021-08-28;525.0;145724.0;8.0;1842.0
TCD;Africa;Chad;2021-03-28;5.0;4506.0;2.0;162.0
RUS;Europe;Russia;2020-04-12;2186.0;15770.0;24.0;130.0
BLR;Europe;Belarus;2021-01-15;1941.0;221604.0;10.0;1564.0
JEY;Europe;Jersey;2021-07-01;;;;
HTI;North America;Haiti;2021-08-04;0.0;20307.0;0.0;560.0
TGO;Africa;Togo;2020-03-23;2.0;18.0;;
STP;Africa;Sao Tome and Principe;2020-07-21;0.0;746.0;0.0;14.0
RWA;Africa;Rwanda;2021-07-23;953.0;62328.0;14.0;718.0
SYR;Asia;Syria;2020-07-27;24.0;674.0;2.0;40.0
TZA;Africa;Tanzania;2021-09-16;0.0;1367.0;0.0;50.0
MSR;North America;Montserrat;2021-08-11;0.0;22.0;0.0;1.0
IND;Asia;India;2020-09-18;93337.0;5308014.0;1247.0;85619.0
GTM;North America;Guatemala;2020-03-04;;;;
CUB;North America;Cuba;2020-09-06;11.0;4309.0;1.0;101.0
ERI;Africa;Eritrea;2021-08-06;3.0;6576.0;0.0;35.0
ITA;Europe;Italy;2022-01-10;117405.0;7554344.0;227.0;139265.0
MNG;Asia;Mongolia;2021-02-25;46.0;2801.0;0.0;2.0
NZL;Oceania;New Zealand;2021-07-29;3.0;2870.0;0.0;26.0
ARG;South America;Argentina;2020-08-08;6134.0;241811.0;112.0;4523.0
ZMB;Africa;Zambia;2020-05-24;0.0;920.0;0.0;7.0
DNK;Europe;Denmark;2020-09-26;619.0;26213.0;1.0;648.0
SAU;Asia;Saudi Arabia;2020-05-29;1581.0;81766.0;17.0;458.0
PNG;Oceania;Papua New Guinea;2020-11-17;0.0;602.0;0.0;7.0
ATG;North America;Antigua and Barbuda;2020-07-22;0.0;76.0;0.0;3.0
