iso_code;continent;location;date;total_cases;new_cases;total_deaths;new_deaths;reproduction_rate
COL;South America;Colombia;24/12/2020;1559766.0;14940.0;41454.0;280.0;1.12
COL;South America;Colombia;25/12/2020;1574707.0;14941.0;41690.0;236.0;1.08
COL;South America;Colombia;26/12/2020;1584903.0;10196.0;41943.0;253.0;1.02
COL;South America;Colombia;27/12/2020;1594497.0;9594.0;42171.0;228.0;1.0
COL;South America;Colombia;28/12/2020;1603807.0;9310.0;42374.0;203.0;1.0
COL;South America;Colombia;29/12/2020;1614822.0;11015.0;42620.0;246.0;1.0
COL;South America;Colombia;30/12/2020;1626461.0;11639.0;42909.0;289.0;1.02
COL;South America;Colombia;31/12/2020;1642775.0;16314.0;43213.0;304.0;1.06
COL;South America;Colombia;1/01/2021;1654880.0;12105.0;43495.0;282.0;1.03
COL;South America;Colombia;2/01/2021;1666408.0;11528.0;43765.0;270.0;1.04
COL;South America;Colombia;3/01/2021;1675820.0;9412.0;43965.0;200.0;1.06
COL;South America;Colombia;4/01/2021;1686131.0;10311.0;44187.0;222.0;1.12
COL;South America;Colombia;5/01/2021;1702966.0;16835.0;44428.0;241.0;1.2
COL;South America;Colombia;6/01/2021;1719771.0;16805.0;44723.0;295.0;1.22
COL;South America;Colombia;7/01/2021;1737347.0;17576.0;45067.0;344.0;1.21
COL;South America;Colombia;8/01/2021;1755568.0;18221.0;45431.0;364.0;1.2
COL;South America;Colombia;9/01/2021;1771363.0;15795.0;45784.0;353.0;1.17
COL;South America;Colombia;10/01/2021;1786900.0;15537.0;46114.0;330.0;1.16
COL;South America;Colombia;11/01/2021;1801903.0;15003.0;46451.0;337.0;1.13
COL;South America;Colombia;12/01/2021;1816082.0;14179.0;46782.0;331.0;1.1
COL;South America;Colombia;13/01/2021;1831980.0;15898.0;47124.0;342.0;1.1
COL;South America;Colombia;14/01/2021;1849101.0;17121.0;47491.0;367.0;1.12
COL;South America;Colombia;15/01/2021;1870179.0;21078.0;47868.0;377.0;1.16
COL;South America;Colombia;16/01/2021;1891034.0;20855.0;48256.0;388.0;1.15
COL;South America;Colombia;17/01/2021;1908413.0;17379.0;48631.0;375.0;1.11
COL;South America;Colombia;18/01/2021;1923132.0;14719.0;49004.0;373.0;1.06
COL;South America;Colombia;19/01/2021;1939071.0;15939.0;49402.0;398.0;1.01
COL;South America;Colombia;20/01/2021;1956979.0;17908.0;49792.0;390.0;0.97
COL;South America;Colombia;21/01/2021;1972345.0;15366.0;50187.0;395.0;0.93
COL;South America;Colombia;22/01/2021;1987418.0;15073.0;50586.0;399.0;0.91
COL;South America;Colombia;23/01/2021;2002969.0;15551.0;50982.0;396.0;0.9
COL;South America;Colombia;24/01/2021;2015485.0;12516.0;51374.0;392.0;0.89
COL;South America;Colombia;25/01/2021;2027746.0;12261.0;51747.0;373.0;0.88
COL;South America;Colombia;26/01/2021;2041352.0;13606.0;52128.0;381.0;0.86
COL;South America;Colombia;27/01/2021;2055305.0;13953.0;52523.0;395.0;0.82
COL;South America;Colombia;28/01/2021;2067575.0;12270.0;52913.0;390.0;0.78
COL;South America;Colombia;29/01/2021;2077633.0;10058.0;53284.0;371.0;0.75
COL;South America;Colombia;30/01/2021;2086806.0;9173.0;53650.0;366.0;0.74
COL;South America;Colombia;31/01/2021;2094884.0;8078.0;53983.0;333.0;0.76
COL;South America;Colombia;1/02/2021;2104506.0;9622.0;54272.0;289.0;0.79
COL;South America;Colombia;2/02/2021;2114597.0;10091.0;54576.0;304.0;0.79
COL;South America;Colombia;3/02/2021;2125622.0;11025.0;54877.0;301.0;0.78
COL;South America;Colombia;4/02/2021;2135412.0;9790.0;55131.0;254.0;0.75
COL;South America;Colombia;5/02/2021;2142660.0;7248.0;55403.0;272.0;0.71
